day	timeslot
January 18 2016	09:57AM 
January 19 2016	09:50AM 
January 21 2016	10:59AM 
January 21 2016	03:02PM 
January 26 2016	09:58AM 
January 27 2016	09:57AM 
January 28 2016	11:00AM 
February 01 2016	10:24AM 
February 01 2016	10:28AM 
February 01 2016	06:54PM 
February 02 2016	10:38AM 
February 04 2016	11:00AM 
February 08 2016	09:04AM 
February 09 2016	09:39AM 
February 09 2016	09:39AM 
February 09 2016	09:47AM 
February 11 2016	09:45AM 
February 11 2016	09:50AM 
February 15 2016	09:48AM 
February 16 2016	09:58AM 
February 17 2016	09:39AM 
February 18 2016	12:18PM 
February 18 2016	03:41PM 
February 18 2016	03:42PM 
February 22 2016	04:09PM 
February 22 2016	04:13PM 
February 22 2016	04:22PM 
February 23 2016	09:48AM 
February 23 2016	06:50PM 
February 25 2016	09:44AM 
February 25 2016	09:52AM 
February 25 2016	01:08PM 
February 25 2016	03:05PM 
February 29 2016	09:51AM 
March 01 2016	09:45AM 
March 03 2016	08:49AM 
March 03 2016	12:04PM 
March 03 2016	06:48PM 
March 08 2016	09:14AM 
March 09 2016	09:53AM 
March 10 2016	10:03AM 
March 14 2016	09:50AM 
March 15 2016	09:31AM 
March 17 2016	09:36AM 
March 21 2016	10:01AM 
March 22 2016	10:01AM 
March 29 2016	10:45AM 
March 30 2016	09:55AM 
March 31 2016	10:00AM 
April 19 2016	10:59AM 
April 20 2016	01:36PM 
April 25 2016	11:33AM 
April 26 2016	01:56PM 
April 30 2016	02:13PM 
May 02 2016	09:59AM 
May 03 2016	09:06AM 
May 09 2016	09:56AM 
May 10 2016	09:47AM 
May 10 2016	02:22PM 
May 12 2016	09:52AM 
May 17 2016	11:23AM 
May 19 2016	10:24AM 
May 24 2016	10:04AM 
May 24 2016	10:06AM 
May 30 2016	09:54AM 
May 31 2016	10:02AM 
June 02 2016	08:57AM 
June 06 2016	10:01AM 
June 07 2016	11:24AM 
June 13 2016	10:47AM 
June 15 2016	10:01AM 
June 16 2016	10:13AM 
June 20 2016	11:25AM 
June 27 2016	09:40AM 
June 28 2016	11:17AM 
June 28 2016	10:42PM 
June 30 2016	10:10AM 
July 04 2016	11:19AM 
July 05 2016	11:04AM 
July 07 2016	11:31AM 
July 11 2016	11:11AM 
July 12 2016	10:32AM 
July 14 2016	10:54AM 
July 18 2016	10:18AM 
July 19 2016	10:22AM 
July 23 2016	01:40PM 
August 01 2016	09:59AM 
August 02 2016	10:02AM 
August 04 2016	09:11AM 
August 09 2016	09:51AM 
August 11 2016	10:32AM 
August 16 2016	09:52AM 
August 18 2016	09:43AM 
August 22 2016	10:05AM 
August 23 2016	09:48AM 
August 25 2016	09:52AM 
August 29 2016	09:32AM 
August 30 2016	09:49AM 
September 01 2016	08:50AM 
September 05 2016	12:33PM 
September 06 2016	09:52AM 
September 08 2016	10:10AM 
September 19 2016	09:55AM 
September 20 2016	09:39AM 
September 22 2016	10:10AM 
September 27 2016	10:02AM 
September 29 2016	02:05PM 
October 03 2016	01:30PM 
October 20 2016	11:04AM 
October 24 2016	10:36AM 
October 25 2016	11:03AM 
October 27 2016	10:54AM 
October 31 2016	10:51AM 
November 01 2016	10:21AM 
November 01 2016	10:25AM 
November 01 2016	05:23PM 
November 07 2016	10:25AM 
November 07 2016	10:28AM 
November 10 2016	09:56AM 
November 10 2016	05:33PM 
November 14 2016	10:24AM 
November 14 2016	06:26PM 
November 15 2016	09:58AM 
November 15 2016	07:04PM 
November 15 2016	07:13PM 
November 15 2016	07:29PM 
November 15 2016	08:16PM 
November 15 2016	08:24PM 
November 17 2016	10:21AM 
November 17 2016	10:26AM 
November 17 2016	05:51PM 
November 17 2016	05:52PM 
November 17 2016	05:56PM 
November 21 2016	03:21PM 
November 22 2016	09:55AM 
November 22 2016	05:53PM 
November 24 2016	10:25AM 
November 24 2016	06:36PM 
November 24 2016	06:39PM 
November 28 2016	10:58AM 
November 28 2016	05:47PM 
November 28 2016	05:54PM 
November 28 2016	05:59PM 
November 29 2016	10:12AM 
November 29 2016	05:54PM 
December 01 2016	09:01AM 
December 01 2016	09:06AM 
December 01 2016	06:24PM 
December 01 2016	06:25PM 
December 05 2016	01:43PM 
December 05 2016	01:48PM 
December 06 2016	10:18AM 
December 06 2016	06:29PM 
December 12 2016	09:46AM 
December 13 2016	10:01AM 
December 13 2016	03:33PM 
December 13 2016	03:34PM 
December 15 2016	10:58AM 
December 15 2016	04:34PM 
December 20 2016	10:24AM 
December 20 2016	10:32AM 
December 22 2016	09:59AM 
January 02 2017	10:51AM 
January 02 2017	06:34PM 
January 03 2017	10:01AM 
January 03 2017	05:25PM 
January 03 2017	05:27PM 
January 05 2017	11:27AM 
January 05 2017	05:07PM 
January 05 2017	05:12PM 
January 05 2017	05:18PM 
January 09 2017	04:18PM 
January 10 2017	10:26AM 
January 10 2017	05:46PM 
January 12 2017	08:53AM 
January 12 2017	08:55AM 
January 16 2017	10:47AM 
January 16 2017	06:04PM 
January 19 2017	10:35AM 
January 19 2017	10:39AM 
February 06 2017	09:40AM 
February 06 2017	09:44AM 
February 07 2017	05:07PM 
February 07 2017	05:09PM 
February 07 2017	05:12PM 
February 09 2017	09:44AM 
February 09 2017	06:18PM 
February 13 2017	01:13PM 
February 13 2017	06:53PM 
February 14 2017	10:10AM 
February 14 2017	10:19AM 
February 14 2017	01:45PM 
February 14 2017	06:14PM 
February 14 2017	06:18PM 
February 20 2017	09:54AM 
February 21 2017	10:22AM 
March 07 2017	09:19AM 
March 07 2017	05:59PM 
March 07 2017	06:06PM 
March 09 2017	09:39AM 
March 09 2017	09:44AM 
March 13 2017	09:55AM 
March 13 2017	07:34PM 
March 13 2017	07:37PM 
March 14 2017	09:54AM 
March 14 2017	09:58AM 
March 14 2017	12:45PM 
March 14 2017	05:48PM 
March 16 2017	10:40AM 
March 16 2017	10:45AM 
March 16 2017	12:41PM 
March 20 2017	10:27AM 
March 20 2017	10:29AM 
March 20 2017	06:50PM 
March 21 2017	09:42AM 
March 21 2017	06:34PM 
March 23 2017	09:46AM 
March 23 2017	06:48PM 
March 27 2017	09:42AM 
March 27 2017	09:44AM 
March 30 2017	11:31AM 
March 30 2017	12:33PM 
March 30 2017	06:05PM 
April 03 2017	09:56AM 
April 03 2017	12:26PM 
April 04 2017	10:26AM 
April 06 2017	10:28AM 
April 06 2017	05:48PM 
April 11 2017	10:43AM 
April 13 2017	03:29PM 
April 18 2017	10:10AM 
April 18 2017	10:15AM 
April 20 2017	09:02AM 
April 24 2017	11:23AM 
April 24 2017	02:09PM 
April 25 2017	09:25AM 
April 25 2017	07:17PM 
May 01 2017	09:45AM 
May 01 2017	12:28PM 
May 02 2017	09:27AM 
May 02 2017	06:27PM 
May 02 2017	06:29PM 
May 04 2017	10:10AM 
May 04 2017	10:14AM 
May 08 2017	11:41AM 
May 09 2017	10:16AM 
May 09 2017	06:58PM 
May 09 2017	07:01PM 
May 09 2017	07:04PM 
May 11 2017	09:53AM 
May 11 2017	09:59AM 
May 11 2017	01:14PM 
May 11 2017	06:18PM 
May 15 2017	12:56PM 
May 15 2017	05:34PM 
May 16 2017	11:52AM 
May 16 2017	11:57AM 
May 18 2017	10:15AM 
May 18 2017	06:59PM 
May 18 2017	07:07PM 
May 22 2017	10:10AM 
May 22 2017	10:14AM 
May 23 2017	09:43AM 
May 23 2017	06:18PM 
May 29 2017	02:54PM 
June 12 2017	09:46AM 
June 13 2017	09:55AM 
June 13 2017	06:56PM 
June 13 2017	06:57PM 
June 15 2017	10:02AM 
June 15 2017	06:34PM 
June 19 2017	11:17AM 
June 19 2017	05:44PM 
June 20 2017	10:09AM 
June 22 2017	12:13PM 
June 26 2017	10:40AM 
June 26 2017	10:47AM 
June 26 2017	06:04PM 
June 27 2017	10:15AM 
June 27 2017	07:36PM 
June 29 2017	12:15PM 
